iter	Passed	Remaining
152	1012	5603
153	1018	5592
154	1023	5581
155	1029	5568
156	1037	5568
157	1042	5557
158	1050	5554
159	1057	5551
160	1065	5549
161	1072	5545
162	1077	5535
163	1082	5519
164	1089	5512
165	1094	5496
166	1100	5490
167	1106	5481
168	1112	5471
169	1117	5457
170	1122	5441
171	1128	5430
172	1134	5421
173	1139	5409
174	1144	5393
175	1150	5386
176	1155	5372
177	1160	5359
178	1165	5347
179	1170	5333
180	1176	5325
181	1183	5321
182	1189	5311
183	1196	5306
184	1202	5296
185	1207	5283
186	1213	5274
187	1218	5264
188	1223	5248
189	1228	5236
190	1233	5224
191	1238	5212
192	1243	5199
193	1250	5193
194	1256	5188
195	1262	5180
196	1267	5165
197	1272	5154
198	1279	5150
199	1284	5138
200	1289	5126
201	1295	5119
202	1301	5111
203	1308	5106
204	1315	5101
205	1321	5092
206	1327	5085
207	1333	5077
208	1338	5067
209	1344	5056
210	1350	5048
211	1355	5037
212	1362	5035
213	1368	5025
214	1375	5022
215	1382	5019
216	1388	5011
217	1394	5001
218	1400	4993
219	1406	4987
220	1411	4973
221	1416	4963
222	1421	4952
223	1426	4940
224	1433	4936
225	1440	4932
226	1448	4933
227	1455	4928
228	1461	4920
229	1468	4915
230	1473	4904
231	1480	4902
232	1485	4889
233	1489	4874
234	1494	4865
235	1500	4857
236	1505	4846
237	1509	4834
238	1515	4824
239	1519	4813
240	1526	4806
241	1533	4804
242	1539	4796
243	1544	4786
244	1551	4780
245	1556	4769
246	1564	4768
247	1570	4761
248	1575	4752
249	1580	4742
250	1588	4739
251	1594	4731
252	1600	4724
253	1606	4717
254	1612	4711
255	1618	4702
256	1624	4697
257	1630	4689
258	1636	4682
259	1642	4675
260	1648	4666
261	1652	4655
262	1658	4646
263	1664	4639
264	1669	4631
265	1674	4619
266	1679	4610
267	1685	4603
268	1691	4595
269	1695	4583
270	1701	4576
271	1706	4567
272	1710	4556
273	1715	4544
274	1721	4539
275	1727	4532
276	1732	4522
277	1739	4517
278	1743	4505
279	1748	4495
280	1754	4489
281	1759	4480
282	1767	4476
283	1773	4471
284	1780	4466
285	1786	4460
286	1790	4448
287	1794	4437
288	1800	4428
289	1806	4422
290	1812	4415
291	1819	4410
292	1824	4403
293	1829	4394
294	1835	4387
295	1841	4379
296	1846	4370
297	1852	4363
298	1857	4355
299	1862	4346
300	1869	4340
301	1874	4332
302	1881	4327
303	1888	4323
304	1894	4315
305	1898	4304
306	1902	4295
307	1908	4288
308	1914	4280
309	1920	4274
310	1926	4267
311	1932	4261
312	1938	4254
313	1942	4243
314	1947	4235
315	1956	4234
316	1963	4229
317	1968	4221
318	1974	4215
319	1980	4209
320	1986	4202
321	1992	4194
322	1998	4188
323	2003	4180
324	2008	4170
325	2013	4163
326	2018	4155
327	2024	4148
328	2031	4143
329	2037	4137
330	2043	4129
331	2048	4121
332	2054	4115
333	2060	4109
334	2067	4104
335	2074	4100
336	2079	4091
337	2086	4085
338	2093	4081
339	2097	4071
340	2103	4064
341	2107	4055
342	2114	4050
343	2121	4045
344	2126	4037
345	2133	4032
346	2138	4023
347	2143	4015
348	2149	4009
349	2156	4004
350	2161	3996
351	2168	3992
352	2174	3984
353	2179	3977
354	2183	3966
355	2188	3959
356	2194	3952
357	2199	3944
358	2206	3939
359	2212	3932
360	2216	3922
361	2221	3915
362	2228	3910
363	2235	3905
364	2240	3898
365	2246	3891
366	2253	3887
367	2259	3880
368	2266	3875
369	2272	3869
370	2277	3861
371	2283	3854
372	2290	3850
373	2296	3843
374	2301	3836
375	2306	3828
376	2313	3823
377	2319	3816
378	2324	3809
379	2331	3803
380	2335	3794
381	2341	3787
382	2347	3781
383	2352	3773
384	2358	3768
385	2365	3762
386	2371	3755
387	2377	3750
388	2383	3743
389	2390	3739
390	2397	3733
391	2403	3728
392	2409	3721
393	2415	3714
394	2420	3707
395	2425	3698
396	2430	3691
397	2435	3683
398	2439	3674
399	2444	3666
400	2451	3662
401	2458	3657
402	2466	3653
403	2472	3647
404	2479	3642
405	2487	3638
406	2491	3630
407	2499	3626
408	2507	3623
409	2514	3618
410	2520	3611
411	2526	3605
412	2533	3600
413	2539	3595
414	2546	3589
415	2550	3579
416	2555	3572
